site_id,test
臺北市士林區,"	bar"
臺北市大同區,"	bar"
臺北市大安區,"	bar"
臺北市中山區,"	bar"
臺北市中正區,"	bar"
臺北市內湖區,"	bar"
臺北市文山區,"	bar"
臺北市北投區,"	bar"
臺北市松山區,"	bar"
臺北市信義區,"	bar"
臺北市南港區,"	bar"
臺北市萬華區,"	bar"
